Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
10,0.0008289406002119403,0.002540879501309936,0.030616605605815694,0.003097541308899564,0.0025557638979228164
12,0.0008279282472773862,0.002540312073355206,0.03063666996644563,0.0030946492040339873,0.0025513436321088923
14,0.0008269189586316676,0.002539746897418784,0.03065673590765196,0.0030917646644682624,0.0025469371281047763
15,0.0008264228884110986,0.0025396390462593663,0.030668831164014837,0.003090266700119709,0.002544701008735573
18,0.0008249191970133732,0.002539135348497478,0.0307035221640823,0.0030859946318859076,0.0025381677155354005
24,0.0008219278670789456,0.002537466484072637,0.030763749963612145,0.0030774315164298124,0.0025251121797250074
26,0.000820939495105139,0.002537253181779105,0.03078842406997625,0.0030746280799736642,0.0025208290811175108
33,0.0008176026434952348,0.0025344741079284987,0.030863481998329563,0.003065551233020232,0.002506579174424213
35,0.0008166307784632322,0.0025346092801269465,0.030892788889080924,0.0030628174878924107,0.0025023976724497317
40,0.0008141939457413383,0.002532588476814943,0.030933799891963105,0.0030557608920880447,0.0024917076869935078
48,0.0008102877797115559,0.0025307299256492125,0.031009471440215118,0.003044266319037648,0.0024745037242418578
54,0.0008074948611560787,0.0025299134914147877,0.031088370082938507,0.00303656211335377,0.0024625766048117803
57,0.0008061221317122398,0.002527861510376985,0.031109329475596487,0.0030327775973991466,0.002456669048587338
58,0.000805590796628278,0.002528030029782868,0.031117214664004512,0.003031094211905639,0.0024542855388001404
63,0.0008032468835294378,0.002526249786210325,0.03116025915609375,0.0030241950323859398,0.002443939925951172
77,0.0007968208301303506,0.002522307649110737,0.03130358384564825,0.003005944081244001,0.002416157355399376
78,0.0007963709509344176,0.0025222339367337128,0.03131573650185058,0.003004563373531233,0.0024141292038116517
89,0.0007913982580650003,0.002520568898779585,0.03144034841456498,0.0029902249097470872,0.002392541606470832
103,0.0007851772438110802,0.00251659090241426,0.03157168703616073,0.0029720833476717273,0.0023653760598920212
112,0.0007812516128370986,0.00251418891892743,0.031657406972022635,0.0029606161973600733,0.002348242174095069
113,0.0007807607145617521,0.002514385013867808,0.031665255717681064,0.0029590379886611892,0.002346043241325689
130,0.0007734679731025286,0.002511044047345391,0.03183331199114457,0.002937402584660576,0.002314051531743793
135,0.0007713695134507508,0.0025101273166607523,0.03188611963784003,0.0029313598434624463,0.002305000201313599
136,0.0007710150015964017,0.0025101593404376005,0.03190787495204868,0.002930519209588219,0.0023035674072206204
150,0.0007651877987390152,0.0025069712110342693,0.0320366678417948,0.002913219615262268,0.002278062100604512
171,0.0007568903544639897,0.002502080328871571,0.032254375564255096,0.0028891681446672358,0.0022420890865771487
173,0.0007560016225667629,0.0025022101907186045,0.03226466767493698,0.0028860587121918428,0.0022379269137933386
177,0.0007544408225084307,0.0025017731408459713,0.03230954986783726,0.002881474968673652,0.002231146512600139
183,0.0007521126900933769,0.002500301370626357,0.032364844678260056,0.00287456517104366,0.0022209660216032964
185,0.0007514407611537567,0.0024995706643461514,0.032397307524115154,0.0028731602948785,0.0022184052888283533
199,0.0007461178872120185,0.002496673713490963,0.032532638213334436,0.0028573553863873525,0.002195146951479163
206,0.0007434597247653758,0.002495859925951466,0.032599917488883634,0.002849146344637829,0.002183340650956225
210,0.000741988408251874,0.0024961594121313746,0.03265444341027158,0.0028448488537191623,0.002176989283726728
212,0.0007412460621006228,0.0024951480957009216,0.03266474869221498,0.0028425884313216625,0.0021736974236967748
216,0.0007397786159243185,0.002494131325330025,0.032699869313187184,0.002838193617221395,0.0021672611421278505
217,0.0007394669112768608,0.0024940354714215393,0.03271965203117281,0.00283752880233058,0.002166059620943533
230,0.0007347242779530719,0.002491963648463984,0.03284233538442338,0.002823217209909239,0.002145253341460812
231,0.0007343225022751888,0.002491897932320371,0.03284467933663245,0.002821682103480369,0.0021432773178194134
233,0.0007336576482141414,0.002491478344450133,0.032872268517591334,0.002820030269004856,0.002140588194158275
235,0.0007331011647911049,0.002490387582625315,0.03290708690479212,0.002819073943378695,0.0021385494079303566
237,0.0007324047468287302,0.0024905704011495967,0.032934122473383974,0.002816943581328121,0.0021354653682810272
241,0.0007307879423192412,0.0024901346328150982,0.032942192788577976,0.0028111855444787745,0.0021278757002041898
242,0.0007304945130336707,0.002489890527779449,0.03295932855221536,0.0028104695975945666,0.0021266628557210948
245,0.0007293935864026642,0.0024895124117810604,0.03298204814169934,0.0028070100440722875,0.002121772845112692
255,0.0007261510482685771,0.0024872993239748397,0.03310644756351469,0.002798246567605529,0.0021081126864801354
258,0.0007250352522480202,0.002487535773669305,0.03312855813308525,0.002794356490247839,0.0021029065928918267
259,0.0007246439303240461,0.002487314834127366,0.0331286109207529,0.002792922234607165,0.002101038899923107
